logo,hospital,url,location,typ1,ttyp2,class,employees,founding_date
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,常州瑞慈妇产医院,https://y.dxy.cn/hospital/296,江苏·常州市,民营医院,专科医院,二级医院,100-499 人,2016 年
https://img1.dxycdn.com/2020/0415/530/3407876354069533505-126.png,常州市第二人民医院,https://y.dxy.cn/hospital/214,江苏·常州市,公立医院,综合医院,三级甲等,1000 人以上,1937 年
https://img1.dxycdn.com/2020/0417/256/3408252689841644030-126.png,常州市第三人民医院,https://y.dxy.cn/hospital/2352,江苏·常州市,公立医院,综合医院,三级医院,1000 人以上,1956 年
https://img1.dxycdn.com/2020/0413/214/3407504639682525703-126.png,常州市第一人民医院,https://y.dxy.cn/hospital/164,江苏·常州市,公立医院,综合医院,三级甲等,1000 人以上,1918 年
https://file1.dxycdn.com/2018/0419/437/3273026552912728727-7.png,常州市妇幼保健院,https://y.dxy.cn/hospital/859,江苏·常州市,公立医院,专科医院,三级甲等,1000 人以上,1981 年
https://img1.dxycdn.com/2022/0112/846/9739219381453606253-126.png,承德县医院,https://y.dxy.cn/hospital/4054,河北·承德市,公立医院,综合医院,二级甲等,500-999 人,1949 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,成都川蜀血管病医院,https://y.dxy.cn/hospital/305,四川·,民营医院,专科医院,二级丙等,100-499 人,-
https://img1.dxycdn.com/2019/0404/051/3337930511699612181-7.jpg,成都第一骨科医院,https://y.dxy.cn/hospital/5152,四川·成都市,公立医院,专科医院,三级乙等,500-999 人,1961 年
https://file1.dxycdn.com/2018/0419/713/3273027186420220822-7.png,成都儿童专科医院,https://y.dxy.cn/hospital/199,四川·成都市,公立医院,专科医院,二级甲等,100-499 人,1937 年
https://img1.dxycdn.com/2021/1130/125/5367106049907218153-126.png,成都肛肠专科医院,https://y.dxy.cn/hospital/2239,四川·成都市,公立医院,专科医院,三级甲等,100-499 人,1956 年
https://img1.dxycdn.com/2020/0528/199/3415910191328456849-126.png,成都华佑戒毒医院,https://y.dxy.cn/hospital/12392,四川·成都市,民营医院,专科医院,未定级,20-99 人,1997 年
https://img1.dxycdn.com/2021/0218/671/7764707887610525643-126.png,成都京东方医院,https://y.dxy.cn/hospital/12573,四川·成都市,民营医院,综合医院,未定级,500-999 人,2020 年
https://img1.dxycdn.com/2022/0413/931/8381922839602592453-126.png,成都青城山医院,https://y.dxy.cn/hospital/12729,四川·成都市,民营医院,综合医院,三级医院,100-499 人,2021 年
https://img1.dxycdn.com/2020/0529/863/3416038649505648772-126.png,成都青羊浣花渥迪眼科诊所,https://y.dxy.cn/hospital/12396,四川·成都市,民营医院,其他,未定级,20-99 人,2018 年
https://img1.dxycdn.com/2021/0302/864/2077831043869247643-126.png,成都市第六人民医院,https://y.dxy.cn/hospital/957,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1946 年
https://img1.dxycdn.com/2020/1015/155/0300742244399781443-126.png,成都市第七人民医院,https://y.dxy.cn/hospital/2260,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1950 年
https://img1.dxycdn.com/2020/0525/925/3415344851225780656-126.png,成都市第三人民医院,https://y.dxy.cn/hospital/136,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1941 年
https://img1.dxycdn.com/2020/0525/510/3415345370916840312-126.png,成都市妇女儿童中心医院,https://y.dxy.cn/hospital/134,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,2011 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,成都市锦江区妇幼保健院,https://y.dxy.cn/hospital/2222,四川·成都市,民营医院,专科医院,三级乙等,500-999 人,1951 年
https://img1.dxycdn.com/2020/0820/153/2987024076023941343-126.png,成都市金牛区妇幼保健院,https://y.dxy.cn/hospital/12438,四川·成都市,公立医院,专科医院,三级乙等,100-499 人,1956 年
https://img1.dxycdn.com/2021/0305/416/7597318314308408643-126.png,成都市龙泉驿区第一人民医院,https://y.dxy.cn/hospital/2123,四川·成都市,公立医院,综合医院,三级乙等,1000 人以上,1945 年
https://img1.dxycdn.com/2020/0218/065/3397311121068649692-126.jpg,成都市郫都区人民医院,https://y.dxy.cn/hospital/2358,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1939 年
https://img1.dxycdn.com/2022/0311/061/9345545430888386353-126.png,成都市双流区中医医院,https://y.dxy.cn/hospital/12716,四川·成都市,公立医院,综合医院,三级甲等,500-999 人,1956 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,成都市天府新区人民医院,https://y.dxy.cn/hospital/2116,四川·成都市,公立医院,综合医院,三级乙等,-,1942 年
https://img1.dxycdn.com/2021/0811/775/6518681680286457943-126.png,成都市温江区妇幼保健院,https://y.dxy.cn/hospital/12651,四川·成都市,公立医院,专科医院,三级乙等,100-499 人,1952 年
https://img1.dxycdn.com/2019/1213/913/3384883214438322267-7.jpg,成都市温江区人民医院,https://y.dxy.cn/hospital/2196,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1977 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,成都市武侯区人民医院,https://y.dxy.cn/hospital/4904,四川·成都市,公立医院,综合医院,二级甲等,100-499 人,1999 年
https://img1.dxycdn.com/2019/0411/346/3339213109192832595-7.png,成都市新都区人民医院,https://y.dxy.cn/hospital/2441,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1927 年
https://img1.dxycdn.com/2022/0216/406/0909714571135062353-126.png,成都市新津区妇幼保健计划生育服务中心,https://y.dxy.cn/hospital/12689,四川·成都市,公立医院,专科医院,二级甲等,100-499 人,1953 年
https://img1.dxycdn.com/2020/1218/070/1978202174827373543-126.png,成都市新津区人民医院,https://y.dxy.cn/hospital/12529,四川·成都市,公立医院,综合医院,二级甲等,500-999 人,1942 年
https://img1.dxycdn.com/2020/1231/506/1636363715138816543-126.png,成都双楠医院,https://y.dxy.cn/hospital/7782,四川·成都市,民营医院,综合医院,二级甲等,500-999 人,2012 年
https://img1.dxycdn.com/2021/0104/509/2604719997637586543-126.png,成都西囡妇科医院,https://y.dxy.cn/hospital/12545,四川·成都市,民营医院,专科医院,未定级,500-999 人,2010 年
https://img1.dxycdn.com/2020/0512/626/3412874482673893648-126.png,成都新华医院,https://y.dxy.cn/hospital/12319,四川·成都市,民营医院,综合医院,三级乙等,500-999 人,1958 年
https://img1.dxycdn.com/2021/0205/180/1136288804763482643-126.png,成都新桥口腔医院,https://y.dxy.cn/hospital/12567,四川·成都市,民营医院,专科医院,二级医院,100-499 人,2003 年
https://img1.dxycdn.com/2021/0202/165/1944907469002722643-126.png,成都新世纪妇女儿童医院,https://y.dxy.cn/hospital/12560,四川·成都市,民营医院,专科医院,二级医院,100-499 人,2014 年
https://img1.dxycdn.com/2021/0309/298/7026657000184878643-126.png,成都西区医院,https://y.dxy.cn/hospital/2092,四川·成都市,民营医院,综合医院,三级乙等,1000 人以上,1999 年
https://img1.dxycdn.com/2020/1120/513/9480507210866558443-126.png,成都颐和医院,https://y.dxy.cn/hospital/12469,四川·成都市,民营医院,综合医院,二级医院,100-499 人,2020 年
https://img1.dxycdn.com/2020/0416/747/3408125567399497513-126.png,成都医学院第一附属医院,https://y.dxy.cn/hospital/840,四川·成都市,公立医院,综合医院,三级甲等,1000 人以上,1948 年
https://img1.dxycdn.com/2020/1102/601/6613169532988715443-126.png,成都誉美医院,https://y.dxy.cn/hospital/5538,四川·成都市,民营医院,综合医院,二级甲等,100-499 人,1955 年
https://img1.dxycdn.com/2021/0222/023/6849073489005495643-126.png,成都中医大银海眼科医院,https://y.dxy.cn/hospital/9781,四川·成都市,民营医院,专科医院,三级医院,100-499 人,2016 年
https://img1.dxycdn.com/2020/0508/825/3412142970286388266-126.png,成武县人民医院,https://y.dxy.cn/hospital/2881,山东·菏泽市,公立医院,综合医院,三级医院,1000 人以上,1949 年
https://img1.dxycdn.com/2020/0624/303/2612992617833090243-126.png,郴州市第一人民医院,https://y.dxy.cn/hospital/626,湖南·郴州市,公立医院,综合医院,三级甲等,1000 人以上,1907 年
https://img1.dxycdn.com/2020/0530/256/3416221187762934769-126.png,赤峰朝聚眼科医院,https://y.dxy.cn/hospital/2993,内蒙古·赤峰市,民营医院,专科医院,三级医院,100-499 人,2005 年
https://img1.dxycdn.com/2020/1217/712/2842217028410753543-126.png,赤峰桥北骨科医院,https://y.dxy.cn/hospital/12521,内蒙古·赤峰市,民营医院,专科医院,二级医院,100-499 人,2018 年
https://img1.dxycdn.com/2021/0220/558/2448680140861265643-126.png,赤峰市妇产医院,https://y.dxy.cn/hospital/12579,内蒙古·赤峰市,公立医院,专科医院,三级医院,500-999 人,1986 年
https://img1.dxycdn.com/2021/0220/613/9906327531542265643-126.png,赤峰市妇幼保健院,https://y.dxy.cn/hospital/12580,内蒙古·赤峰市,公立医院,专科医院,二级医院,100-499 人,1963 年
https://img1.dxycdn.com/2019/0426/522/3342064452081484810-7.png,赤峰市宁城县中心医院,https://y.dxy.cn/hospital/2373,内蒙古·赤峰市,公立医院,综合医院,三级乙等,1000 人以上,1951 年
https://img1.dxycdn.com/2020/0527/374/3415678802113148563-126.png,重庆爱尔儿童眼科医院,https://y.dxy.cn/hospital/12387,重庆·江北区,民营医院,专科医院,未定级,100-499 人,2018 年
https://img1.dxycdn.com/2020/0619/289/8641989237962999143-126.png,重庆爱尔麦格眼科医院,https://y.dxy.cn/hospital/12340,重庆·南岸区,民营医院,专科医院,三级医院,100-499 人,1994 年
